Year,Employment status,"Walk [notes 4, 5]",Pedal cycle [note 6],Car or van driver,Car or van passenger,Motorcycle,Other private transport [note 7],Bus in London,Other local bus,Non-local bus,London Underground,Surface rail,Taxi or minicab,Other public transport [note 8],All modes,Unweighted sample size: individuals in employment,Unweighted sample size: trips (thousands)
2004,Self-employment,16.94710831,2.714191503,155.0456214,15.93023334,2.718835886,0.495851334,3.900251166,4.248842268,0,3.770823183,6.617324841,0.848476361,0.354888966,213.5924485,939,3.608
2004,All employed people,43.46445438,12.70299405,192.8066929,31.02241644,3.65472807,1.847105695,6.325151392,18.50937823,0,8.561995675,16.7397657,2.559844121,1.406832456,339.6013591,7544,45.585
2005,Full-time employment,33.26252739,11.30045063,224.2132132,31.29238929,5.197258573,1.283149937,10.40029487,17.83707147,0.342386263,11.58667154,19.48086032,1.83103514,3.468877802,371.4961864,5010,33.839
2005,Part-time employment,59.23265923,6.858254612,116.3924863,31.09054078,1.516077094,0.337933434,6.957304558,22.6608475,0,1.797808057,5.547340972,2.330722177,1.037093008,255.7590678,1724,7.942
2005,Self-employment,18.24460701,5.122016684,158.8129828,19.79960904,3.332129427,0.101243937,1.926028995,3.663085473,0,3.422917077,6.763027936,1.484912982,0.218403817,222.8909652,1000,4.067
2005,All employed people,36.85937499,9.586806409,193.2383346,29.80661423,4.18590215,0.935187912,8.609306921,17.07559533,0.227109789,8.494970456,14.94230229,1.893063239,2.547327471,328.4018958,7734,45.848
2006,Full-time employment,36.12263052,13.30948866,214.4193354,31.47758768,4.458114446,1.326006345,7.318485568,19.46151827,0.268388432,11.87562538,20.32036948,2.230615525,2.736077078,365.3242428,5160,34.777
2006,Part-time employment,50.26087534,9.115143665,111.7367673,32.89100482,1.578684542,0.814520532,4.989307334,17.45166562,0,3.992494563,5.677041274,1.911108078,1.158643223,241.5772563,1689,7.484
2006,Self-employment,13.93101205,2.62034559,159.6705773,15.19268779,0.766388722,0.231554309,1.94854335,2.887107681,0,6.651082092,6.580184105,0.705252631,0.704959906,211.8896955,1025,3.965
2006,All employed people,36.25524286,11.10517229,186.392417,29.72774894,3.40188916,1.083400418,6.165327013,16.96979709,0.179428836,9.595926045,15.57991656,1.973568775,2.156358207,320.5861932,7874,46.226
2007,Full-time employment,36.13881292,13.59238828,223.3064722,30.48333255,4.953546858,1.188070628,7.203124928,17.04689692,0.476328511,9.673174851,20.81130666,1.240051682,1.603424418,367.7169314,5144,33.662
2007,Part-time employment,57.7008702,6.132305211,119.9596356,34.56036926,0.60084272,0.742525516,8.789798348,16.55943281,0.029363842,3.649644876,5.851941416,1.650608637,0.991968329,257.2193068,1733,7.818
2007,Self-employment,8.983485596,3.193342786,140.5739765,13.41228998,0.428731964,0,5.669784321,2.917522146,0.514108508,6.545373913,12.23271353,0.273356491,0.653387287,195.398073,1071,3.662
2007,All employed people,37.12873423,10.66554297,190.7670747,29.11208911,3.447244393,0.939240451,7.336669911,15.09962853,0.387247218,7.997828059,16.54475273,1.200195551,1.350774514,321.9770224,7948,45.142
2008,Full-time employment,33.17027671,14.46432767,207.4276724,28.82800418,5.620449416,0.659307042,8.247013584,17.1872109,0.177823763,13.50945183,23.38467337,2.58973203,1.57464748,356.8405904,4941,32.222
2008,Part-time employment,53.00927364,8.090799128,113.8716565,33.86135758,0.86483428,0.866856648,14.56358937,16.68962389,0,4.674661552,5.072677281,2.956829526,0.252712026,254.7748715,1636,7.458
2008,Self-employment,5.449602357,2.483527036,135.3640357,11.27042467,0.522764827,0.06441413,4.927809623,0.161947418,0,7.22026072,8.040351271,0.759353176,0.293396324,176.5578872,960,3.069
2008,All employed people,33.87284288,11.68966927,179.3665906,27.72184862,4.018983473,0.629449011,9.142751528,15.00699981,0.119502112,10.92252784,17.74097747,2.44195359,1.146051486,313.8201477,7537,42.749
2009,Full-time employment,30.92040604,14.64637138,204.3337154,30.51741617,3.361248093,2.217095248,10.02108825,17.50206105,0.038635047,12.23858288,19.92935745,2.219233926,1.394293593,349.3395045,5025,31.469
2009,Part-time employment,57.95578352,7.915815932,108.3076796,29.33856588,1.146277922,0.477140709,14.16725944,19.73118671,0,3.648050483,4.452080707,2.205429892,1.323668063,250.6689388,1690,7.477
2009,Self-employment,8.220194319,4.562740863,115.1848381,11.29404675,2.761474324,0.511381545,4.313601277,0.751447987,0,5.544551093,7.973419098,0.80776488,0.045815338,161.9712756,1081,3.194
2009,All employed people,33.48529704,11.89258177,172.4004037,27.6883126,2.820469602,1.626327478,10.115179,15.71336344,0.025415059,9.554055475,15.10677841,2.026622058,1.198345166,303.6531508,7796,42.14
2010,Full-time employment,32.95743376,11.22166121,210.6518696,26.97824167,3.837265318,0.742107965,12.57158832,15.60451546,0.150284245,12.06314858,24.01826603,1.374437785,1.736330455,353.9071504,4781,30.147
2010,Part-time employment,49.77478493,7.864445813,115.3820468,26.49462287,0.485179266,0.673946384,11.90608026,16.07706103,0.030632631,2.526808107,7.536276294,1.517971655,1.903911902,242.1737679,1644,7
2010,Self-employment,9.715580967,5.529071258,116.5757946,9.004875715,1.290137806,0.980329631,4.888800082,2.190472209,0,6.384316623,7.413240666,0.498083656,0.073895389,164.5445986,1035,3.022
2010,All employed people,33.41522423,9.761009452,178.1428113,24.49462842,2.794537029,0.759338567,11.41344375,13.92626268,0.105197157,9.304420565,18.35041921,1.288496333,1.551274504,305.3070632,7460,40.169
2011,Full-time employment,33.17939453,15.66889624,205.1130413,27.81285388,4.985851932,0.511497143,10.3266262,15.39308476,0.261602666,11.35416188,21.12517839,2.026915685,1.644020893,349.4031255,4506,27.776
2011,Part-time employment,50.85065185,8.566936208,117.6237823,28.64875112,1.389428483,0,9.296667156,17.83743314,0,3.442238935,6.069031167,2.082831437,1.428135292,247.2358871,1710,7.483
2011,Self-employment,8.855341499,4.660119463,122.6417868,11.26674612,0.559874866,0,3.170667092,2.547468452,0,5.906180301,5.053879404,0.419548022,0.491254077,165.5728661,936,2.782
2011,All employed people,34.17592256,12.65675678,174.6844169,25.92549,3.604865961,0.329912922,9.19123114,14.33960208,0.168732321,8.854990085,15.65260812,1.837768492,1.449657833,302.8719552,7152,38.041
2012,Full-time employment,35.77489022,14.58188208,200.05668,28.72206771,4.853826425,0.490233316,9.411633047,16.01590608,0.177290606,11.09348583,23.64411916,2.520054747,1.998671319,349.3407406,4706,29.744
2012,Part-time employment,53.40020639,8.347403797,121.234704,27.91097836,3.17229413,0.262763087,6.486646474,17.24877565,0.065249603,2.264477741,5.854402615,1.455854384,1.770218091,249.4739744,1708,7.549
2012,Self-employment,16.86178513,4.13007027,116.0856546,10.69399738,1.068511621,0.105933785,0.670672553,2.172296251,0,5.21519865,8.496266725,1.003453807,0.228094356,166.7319351,1066,3.202
2012,All employed people,37.09893669,11.77357666,171.1270544,26.08138939,3.964477995,0.387366356,7.570257808,14.3993763,0.128260908,8.334541913,17.63411654,2.077201108,1.70635135,302.2829074,7480,40.495
2013,Full-time employment,32.08018082,13.64219385,200.0483163,34.16493015,3.432076028,0.644984847,8.595499698,14.17750271,0.011886715,11.66433243,22.92111252,2.142495899,1.759279697,345.2847917,4715,29.493
2013,Part-time employment,43.387531,7.581035892,113.5211376,28.37308248,1.512475268,1.927859174,6.202983954,20.14554965,0,4.901995429,5.722577222,1.9773102,1.459298611,236.7128364,1560,6.577
2013,Self-employment,6.532068627,2.244263208,107.6125459,8.158494361,1.402482959,0,1.427480016,0.175040508,0,7.913040184,5.571155895,1.233712069,1.377507193,143.6477909,1007,2.607
2013,All employed people,31.02892511,10.88180344,169.951169,29.52498774,2.76716607,0.824234618,7.152353808,13.55401637,0.007859626,9.772184723,17.07437817,1.988031979,1.646814866,296.1739256,7282,38.677
2014,Full-time employment,31.58427863,16.14696644,191.695604,30.83661018,4.259641098,1.306591787,8.195120602,16.05850526,0.18850369,12.110834,26.81187139,1.997553214,1.654297571,342.8463778,4774,29.433
2014,Part-time employment,50.63367512,8.206343288,117.6706065,35.35562019,1.952412261,0.651030766,7.863623134,20.67784218,0,6.715155354,6.185759037,1.8577831,0.803289882,258.5731408,1541,7.022
2014,Self-employment,12.57273515,4.229180865,104.9656517,8.373778246,1.311834436,0.430065171,2.102075557,1.352474079,0,6.901643627,9.300155908,2.256164925,0.632087663,154.4278473,1108,3.086
2014,All employed people,32.66821699,12.8425495,164.3944284,28.51284692,3.373549642,1.049223189,7.252757968,14.86996571,0.123632682,10.28079345,20.16139933,2.006724731,1.336822635,298.8729112,7423,39.541
2015,Full-time employment,33.29215462,14.73647321,190.1836284,25.36412568,4.477339736,1.278672559,9.249877366,16.93355463,0.148711411,9.334708611,25.17506701,2.127063234,3.04728727,335.3486638,4595,27.832
2015,Part-time employment,47.40468788,7.795167946,108.3661623,27.42710037,1.482605475,0.488464037,8.622790815,16.45327514,0,4.901990343,5.047945175,1.340484761,0.605018589,229.9356928,1545,6.292
2015,Self-employment,9.77428955,4.13082162,100.2071613,8.791164825,1.559228737,0.15358621,7.368171695,1.266772666,0.097809228,5.800749558,8.741155336,0.352973027,0.132183454,148.3760672,985,2.591
2015,All employed people,33.11792891,11.90278711,161.395396,23.60924012,3.473023439,0.966914384,8.872276886,14.77135895,0.111216395,7.951550177,18.84367902,1.730606479,2.157763639,288.9037415,7125,36.715
2016,Full-time employment,31.2612347,13.80425901,189.9564312,25.71809692,4.431051243,1.276291325,7.46243662,14.52559426,0.140217868,14.1042174,26.72616367,2.764427332,2.39759492,334.5680165,4740,29.215
2016,Part-time employment,42.3440075,7.085165122,108.2092269,23.03973424,0.089672872,1.062848382,9.649931559,14.22993332,0,2.36643873,7.635852799,2.44681581,0.532611987,218.6922392,1501,5.969
2016,Self-employment,17.35798371,2.746285022,104.3698989,12.19114776,1.417320244,1.996623987,3.294699312,1.893062137,0,4.005696937,7.790542618,0.649793166,0,157.7130538,1062,3.023
2016,All employed people,31.52607975,10.92725146,161.7769961,23.30009666,3.148009093,1.334277804,7.316273052,12.70588306,0.092800751,10.36339127,20.29200553,2.406521096,1.692673671,286.8822593,7303,38.207
2017,Full-time employment,32.11149865,14.16748326,185.9124626,21.66028478,3.979462873,0.559234548,11.85049099,15.73329767,0.270277943,11.47565842,25.66151593,2.870101294,4.352103199,330.6038721,4502,27.409
2017,Part-time employment,43.14935696,6.879162725,112.6454271,27.2667429,1.567853865,0.567283083,6.265362614,17.02364924,0,4.165997676,4.746782106,1.446354999,2.508606855,228.2325801,1361,5.669
2017,Self-employment,14.76787876,4.006723823,88.75034414,10.69857739,2.702699293,0.23234232,2.403691367,0.442471022,0,4.790862121,10.51932772,0.717104384,0,140.0320223,901,2.24
2017,All employed people,32.05605566,11.47735626,159.4978858,21.36057466,3.352422965,0.519547912,9.579521945,14.05347518,0.183957041,9.219946431,19.71008659,2.323383148,3.446836918,286.7810505,6764,35.318
2018,Full-time employment,40.13763944,13.6248627,183.2458795,25.77151031,3.509175318,1.22754366,7.00269722,12.11376597,0.05849384,14.01799909,27.72616842,3.239347393,3.979047935,335.6541308,4344,26.619
2018,Part-time employment,44.62281113,6.677231252,113.2818984,21.47438556,0.367798359,0.108736232,7.246474009,16.67015559,0,6.349248897,4.971853586,2.03268158,1.279432099,225.0827067,1273,5.257
2018,Self-employment,7.254144326,6.364364343,91.75529413,9.218336359,0.104220961,0.811782461,2.167637071,1.07607929,0,4.36756072,5.126936955,0.747148781,0.501091853,129.4945972,929,2.147
2018,All employed people,36.52053277,11.37183568,158.0769274,22.74970892,2.473983408,0.96643277,6.394686456,11.45863205,0.039880617,11.31023511,20.50649189,2.681844733,3.014941205,287.566133,6546,34.023
2019,Full-time employment,32.87983344,13.65455343,176.524617,20.86724186,2.842234203,1.289241885,12.13719703,13.26781406,0,19.07417912,25.51177781,2.517729719,2.726345617,323.2927652,4362,26.026
2019,Part-time employment,45.70853087,5.864500955,111.0047064,21.44532508,0.911591068,0.478769697,7.104342149,16.16272718,0.069604889,3.935329089,7.501368807,2.970777637,0.9339331,224.0915069,1366,5.584
2019,Self-employment,11.51204349,3.839844423,78.18365274,6.387931906,2.135858146,0.065836883,3.723369673,4.919501934,0,5.722722776,8.740912185,0.277301405,0,125.5089756,966,2.26
2019,All employed people,32.46466319,10.78065829,150.1869541,18.99454509,2.366738014,0.962496598,9.996150438,12.69041667,0.01364976,14.27403982,19.67949108,2.299264655,2.000886922,276.7099546,6694,33.87
2020,Full-time employment,13.73556365,10.24237898,133.3117688,11.92310439,2.806374004,0.984444667,4.307618274,6.645378831,0,6.043601897,9.527254545,2.366640336,1.044551091,202.9386794,1835,7.77
2020,Part-time employment,40.38826017,6.384093308,99.92238898,19.73780063,0,0.623222728,6.280588456,8.445758624,0,0.726709843,4.679989171,0.353139848,0.703102765,188.2450545,560,2.027
2020,Self-employment,4.607267173,0.557492825,58.57664452,5.675377951,0.327410621,0.182669442,1.765414677,1.246694479,0,7.305460033,4.719110779,2.678830655,0,87.64237316,413,0.788
2020,All employed people,17.41107254,8.201922504,116.8977979,12.51134886,1.947905543,0.807794938,4.323902597,6.238288704,0,5.233755331,7.972337683,2.037247308,0.838284592,184.4216585,2808,10.585
2021,Full-time employment,20.86006926,9.459026689,134.6632484,13.66908155,1.626980025,0.850475829,4.268533431,9.219843571,0,10.08465574,12.7535074,2.363146239,0.880690054,220.6992582,3194,12.74
2021,Part-time employment,38.5242441,7.572382295,93.23304295,19.1892874,1.64327833,0.096514433,2.326937614,8.402425247,0,2.842938143,4.619430949,2.57592482,0.749997837,181.7764041,835,2.872
2021,Self-employment,4.535501439,1.702465181,97.69613242,3.791431621,0,0,3.089341906,0,0,2.747987262,10.94150578,0,0,124.5043656,655,1.602
2021,All employed people,21.8113156,8.100582699,122.4760502,13.33448946,1.414604722,0.605174956,3.770582461,7.856118875,0,7.838646996,11.08124039,2.087981223,0.741159765,201.1179474,4684,17.214
2022,Full-time employment,29.30872789,11.40547063,152.0084584,18.18785096,3.26406207,0.365087086,6.702340122,10.00366713,0,6.993371813,14.11292198,2.354337145,1.065749579,255.7720448,2607,12.269
2022,Part-time employment,44.00189831,4.16636741,102.6133968,20.1174731,0.677272421,0,2.447219803,14.01740822,0,1.529748548,5.465048188,2.837823042,1.834767613,199.7084235,709,2.683
2022,Self-employment,14.49055132,1.826116062,87.40419871,5.062150044,0.662474731,0,1.589560028,1.131893652,0,8.014129429,3.364579773,1.074497689,0.999090264,125.6192417,490,1.138
2022,All employed people,30.18743812,8.974209677,135.5089485,16.97975281,2.492533594,0.2564445,5.334568239,9.672632346,0,6.135156586,11.29082574,2.289462677,1.195662768,230.3176356,3806,16.09
2023,Full-time employment,27.70374148,9.531621699,146.0972414,17.5272312,1.952506681,1.150414486,7.05175894,10.42749843,0,11.28566059,16.47604299,2.508834862,1.079445352,252.7919981,4441,20.73
2023,Part-time employment,42.9185601,8.930526057,93.03621842,27.74218467,0.548875116,0.942548348,4.560520636,15.84950758,0,3.856024958,5.32074518,2.78963658,0.693335678,207.1886833,1243,4.79
2023,Self-employment,10.96758476,2.51407666,84.8473577,13.90094746,1.087327506,0.188307763,2.149119718,0.757080381,0,5.330168796,4.440670586,0.486213428,0.165635784,126.8344905,828,1.862
2023,All employed people,28.4996858,8.595957759,129.2358565,18.95774514,1.595384283,0.999321367,6.021426287,10.27470978,0,9.233329,13.03027859,2.321721201,0.901626949,229.6670427,6512,27.382
